issue_id,issue_title,source_table,affected_columns,issue_description,evidence,affected_row_count,affected_entity_count,affected_percentage,primary_classification,severity,analytical_risk,impacted_metrics,impacted_analysis_themes,proposed_treatment,treatment_status,owning_future_phase,test_id,source_evidence_reference,unresolved_question,notes
DQ-011,Two-level customer identity semantics,customers; orders,customer_id; customer_unique_id; order_id,customer_id identifies one order-associated customer record; customer_unique_id can span orders.,"99,441 unique customer_id; 96,096 unique customer_unique_id; 2997 stable IDs map to multiple records; maximum 17.",2997,2997,3.118756,ANALYTICAL_MODELING_CONDITION,HIGH,Using customer_id as a stable identity understates repeat behavior.,MET-006; MET-007,Customer,Use customer_unique_id only after Phase 3 eligibility rules.,REQUIRES_METRIC_RULE,PHASE_3,T-DQ-011,semantic_validation.json,,
DQ-016,"Orders without related item, payment, or review records",orders,order_id; order_status,Parent orders do not always have each optional/transactional child source.,without items=775; payments=1; reviews=768; no child FK orphans.,1525,1525,varies,ANALYTICAL_EXCLUSION_CANDIDATE,MEDIUM,Metric populations and denominators can differ by source coverage.,MET-001–MET-015,Cross-cutting,Preserve orders; Phase 3 defines metric-specific eligibility.,REQUIRES_METRIC_RULE,PHASE_3,T-DQ-016-items; T-DQ-016-payments; T-DQ-016-reviews,relationship_validation.csv,,
DQ-015,Order-item/payment many-to-many fanout,order_items; payments,order_id; price; freight_value; payment_value,Directly joining both multi-row facts on order_id repeats measures by I_o × P_o.,"9,802 multi-item orders; 2,936 multi-payment orders; 275 both; 117,601 joined rows; price +4.544062%; payment +28.15711%.",117601,275,0.278721,ANALYTICAL_MODELING_CONDITION,CRITICAL,Can materially corrupt monetary metrics and conclusions.,MET-003; MET-004; MET-005; MET-012; MET-013; MET-014,Commerce; Payment,Separate facts or independently pre-aggregate each to order grain.,REQUIRES_MODELING_RULE,PHASE_4,T-DQ-015,fanout_validation.json,,Permanent choice DEFERRED_TO_PHASE_4
DQ-010,Ambiguous repeated review relationships,reviews,review_id; order_id; review_score; review timestamps; comments,Review IDs can link to multiple orders and orders can contain multiple review IDs; no revision flag exists.,789 review IDs span orders; 547 orders have multiple review IDs; score variation among repeated review IDs=0; max rows/order=3.,2052,1336,1.346448,UNRESOLVED,HIGH,Average review score and coverage depend on an unsupported canonical rule.,MET-010,Customer experience,Preserve all events; approve canonical/event-grain policy later.,REQUIRES_FURTHER_INVESTIGATION,PHASE_3_OR_4,T-DQ-010,review-relationship-assessment.csv,"Are repeated relationships revisions, identifier reuse, or another source-system behavior?",
DQ-013,Geolocation observation multiplicity and coverage gaps,geolocation; customers; sellers,ZIP prefix; latitude; longitude; city; state,"Raw geolocation contains repeated observations, conflicting labels/coordinates, exact duplicates, and coverage gaps.","261,831 exact repeats; 17,972 multi-row prefixes; 8,556 multi-city; 8 multi-state; customer gaps=278; seller gaps=7.",17972,17972,94.514857,ANALYTICAL_MODELING_CONDITION,HIGH,Direct ZIP joins multiply rows and geography may be misassigned.,MET-001–MET-015 when geographically grouped,Geography,Evaluate median/centroid/modal-label normalized ZIP reference; retain coverage flags.,REQUIRES_NORMALIZATION,PHASE_4,T-DQ-013,geolocation-quality-assessment.csv,,Final decision DEFERRED_TO_PHASE_4
DQ-012,Missing and untranslated product categories,products; category_translation; order_items,product_category_name; product_category_name_english,Some products lack a Portuguese category and two observed categories lack supplied English mappings.,"610 products / 1603 item rows missing; 13 products / 24 item rows untranslated; labels=['pc_gamer', 'portateis_cozinha_e_preparadores_de_alimentos'].",623,623,1.890686,SOURCE_DATA_LIMITATION,MEDIUM,Silent inner joins undercount category-based metrics.,MET-001; MET-003–MET-005; MET-010–MET-013,Product/category,Preserve missing and original untranslated values; Phase 4 approves display labels.,REQUIRES_MODELING_RULE,PHASE_4,T-DQ-012,category-quality evidence in test results,,
DQ-005,Timezone metadata absent from source timestamps,orders; order_items; reviews,all timestamp columns,CSV timestamps are timezone-naive and the source provides no timezone field.,All configured non-null timestamps parse; no offset/timezone metadata exists.,all timestamped rows,all timestamped rows,not applicable,SOURCE_DATA_LIMITATION,MEDIUM,Timezone-sensitive/hour-of-day interpretation cannot be verified.,MET-001; MET-008; MET-009,Time,Retain source-naive semantics and document limitation.,PRESERVE_AND_DOCUMENT,PHASE_3_AND_6,T-DQ-005,date_profile.csv,,
DQ-006,Order chronology exceptions,orders,approval; carrier; customer delivery timestamps,Some lifecycle timestamps appear in an unexpected sequence; late delivery is separately a valid business condition.,"1,359 approval-after-carrier; 23 carrier-after-customer-delivery; zero purchase-after-approval/delivery. Violation magnitudes/statuses in temporal assessment.",1382,1382,1.389769,UNRESOLVED,HIGH,Duration metrics may be negative or operational sequence may be misinterpreted.,MET-008; MET-009; MET-015,Delivery,"Preserve; Phase 2 evidence supports metric-specific exclusion consideration, not correction.",POTENTIAL_ANALYTICAL_EXCLUSION,PHASE_3,T-DQ-006,temporal-quality-assessment.csv,"Do timestamps reflect source-system event ordering, delayed writes, or erroneous values?",
DQ-017,Shipping-limit timestamp beyond source purchase window,order_items; orders,shipping_limit_date; order_purchase_timestamp,Shipping-limit timestamp extends to 2020 although the last purchase is in 2018.,"4 item row(s), 3 order(s), delta days=[1056.0416666666667, 1056.0416666666667, 1052.004537037037, 1052.004537037037].",4,3,0.003551,UNRESOLVED,MEDIUM,Shipping-limit analysis and chronology can be distorted for the affected row.,No current core metric; future shipping compliance,Delivery,Preserve and investigate; do not infer typo or correction.,REQUIRES_FURTHER_INVESTIGATION,PHASE_3_OR_4,T-DQ-017,shipping-limit-2020-assessment.csv,What source-system event produced the 2020 timestamp?,
DQ-008,Order-status-dependent metric eligibility,orders,order_status; lifecycle timestamps,Eight valid source statuses have different lifecycle completion and child-source coverage.,"Counts, timestamp presence, and item/payment/review presence are recorded per status; all eligibility cells PENDING_PHASE_3.",99441,8,100,VALID_BUSINESS_CONDITION,HIGH,A single implicit status filter would create inconsistent KPI populations.,MET-001–MET-015,All,Phase 3 approves metric-specific populations.,REQUIRES_METRIC_RULE,PHASE_3,T-DQ-008,status-eligibility-matrix.csv,,
