visual_id,dashboard_page,title,visual_type,business_question,metric_ids,finding_ids,source_model,population,date_basis,slicers,denominator_context,tooltip,limitation,expected_sort,portfolio_priority
VIS-001,Executive Overview,Total Orders,KPI card,How many orders were observed?,MET-001,,bi_orders,all statuses,purchase date,Date,None,MET-001 tooltip,Includes all statuses,NA,HIGH
VIS-002,Executive Overview,Product GMV,KPI card,What eligible product value was observed?,MET-003,FIND-001,bi_order_items,commercial items,purchase date,Date;Category,Item count,MET-003 tooltip,Not revenue or profit,NA,HIGH
VIS-003,Executive Overview,Average Order Value,KPI card,What was mean order Product GMV?,MET-005,,bi_orders,item-bearing commercial orders,purchase date,Date,Eligible order count,MET-005 tooltip,Freight excluded,NA,HIGH
VIS-004,Executive Overview,Observed Unique Customers,KPI card,How many stable customers were observed?,MET-006,FIND-002,bi_orders,commercial orders,purchase date,Date,Eligible customer count,MET-006 tooltip,Bounded window,NA,HIGH
VIS-005,Executive Overview,Late Delivery Rate,KPI card,What share arrived after estimate?,MET-009,FIND-005,bi_orders,endpoint-qualified delivered orders,purchase date,Date;Customer State,Eligible delivery count,MET-009 tooltip,Non-causal,NA,HIGH
VIS-006,Executive Overview,Average Order-Level Review Score,KPI card,What score did reviewed orders receive?,MET-010,,bi_order_reviews,reviewed orders,purchase date,Date,Reviewed-order count,MET-010 tooltip,Revision semantics unknown,NA,HIGH
VIS-007,Executive Overview,Monthly Orders and Product GMV,combo line/column,How did activity vary by month?,MET-001;MET-003,FIND-001,bi_monthly_trends,metric-specific,purchase month,Date,Period status,Complete/partial/no-activity tooltip,Partial periods not comparable,year_month,HIGH
VIS-008,Executive Overview,Major Categories,horizontal bar,Which categories contributed most?,MET-003,FIND-003,bi_category_performance,commercial items,purchase date,Category,Item/order count,Category tooltip,Top 5 display only,Product GMV descending,HIGH
VIS-009,Executive Overview,Customer State Product GMV,horizontal bar,Where was commercial demand associated?,MET-003,FIND-007,bi_customer_state,commercial orders,full window,Customer State,Commercial orders,Customer State tooltip,Order-associated geography,Product GMV descending,MEDIUM
VIS-010,Executive Overview,Delivery Outcome,100% stacked bar,How were eligible deliveries split?,MET-009;MET-015,FIND-005,bi_orders,endpoint-qualified delivered orders,purchase date,Date;Customer State,Shared denominator,Delivery tooltip,Estimate adherence only,Late then On-time,MEDIUM
VIS-011,Commercial & Category,Commercial KPI Strip,4 KPI cards,What are value volume and freight levels?,MET-003;MET-011–MET-013,,bi_order_items,commercial items,purchase date,Date;Category,Item/gross value,Metric tooltips,Metric-specific context,NA,HIGH
VIS-012,Commercial & Category,Category Product GMV,Top-10 bar,Which categories drive value?,MET-003,FIND-003,bi_category_performance,commercial items,full window,Category,Order/item count,Category tooltip,Display Top 10 only,rank,HIGH
VIS-013,Commercial & Category,Category Contribution,cumulative line,How concentrated is category value?,MET-003,FIND-003,bi_category_performance,commercial items,full window,None,Cumulative share,Contribution tooltip,No automatic 80/20 claim,rank,MEDIUM
VIS-014,Commercial & Category,Category Freight Burden,bar/table,Which categories carry higher freight share?,MET-013,,bi_category_performance,commercial items,full window,Category,Gross value and item count,Freight tooltip,Recorded freight not cost,burden descending,MEDIUM
VIS-015,Commercial & Category,Seller Concentration,cumulative line,How concentrated is seller Product GMV?,MET-003,FIND-004,bi_order_items,all commercial seller items,purchase date,Date;Seller State,Item/order context,Seller methodology tooltip,Not dependency or market power,share descending,HIGH
VIS-016,Customer & Geography,Customer KPI Strip,2 KPI cards,What customer reach/repeat was observed?,MET-006;MET-007,FIND-002,bi_orders,commercial customers,purchase date,Date,Customer denominator,Observed-window tooltip,Not retention,NA,HIGH
VIS-017,Customer & Geography,Observed Purchase Frequency,bar,How concentrated is order frequency?,MET-006;MET-007,PYFIND-002,bi_customer_frequency,commercial customers,full window,None,Customer count/share,Frequency tooltip,Not loyalty or lifetime,frequency,HIGH
VIS-018,Customer & Geography,Customer State Performance,bar,Which Customer States represent demand?,MET-003;MET-006,FIND-007,bi_customer_state,commercial orders,full window,Customer State,Orders/customers,Geography tooltip,Not permanent residence,Product GMV descending,HIGH
