metric_id,metric_name,value,unit,population,denominator,date_basis,metric_status,limitation_note,reconciliation_status
MET-001,Total Orders,99441.0,orders,all statuses,99441.0,order_purchase_timestamp,APPROVED,Includes canceled/unavailable orders.,PASS
MET-002,Delivered Status Orders,96478.0,orders,delivered status,96478.0,order_purchase_timestamp,APPROVED,Status metric; does not require delivery timestamp.,PASS
MET-003,Product GMV,13494400.74,BRL,commercial item population,112101.0,order_purchase_timestamp,APPROVED_WITH_LIMITATION,Excludes freight; not revenue or profit.,PASS
MET-004,Gross Order Value,15735527.03,BRL,commercial item population,112101.0,order_purchase_timestamp,APPROVED_WITH_LIMITATION,Product price plus recorded freight; not revenue.,PASS
MET-005,Average Order Value (Product GMV),137.418922188617,BRL/order,item-bearing commercial orders,98199.0,order_purchase_timestamp,APPROVED_WITH_LIMITATION,Freight excluded.,PASS
MET-006,Observed Unique Customers,94986.0,customers,commercial population,94986.0,order_purchase_timestamp,APPROVED_WITH_LIMITATION,Bounded observation window.,PASS
MET-007,Observed Repeat Customer Rate,0.030393952793043185,ratio,commercial customers in observed window,94986.0,order_purchase_timestamp,APPROVED_WITH_LIMITATION,Not retention or lifetime behavior.,PASS
MET-008,Average Delivery Lead Time,12.558217098052024,days,endpoint-complete delivered orders,96470.0,order_purchase_timestamp,APPROVED,Timezone-naive; mean is tail-sensitive.,PASS
MET-009,Late Delivery Rate,0.08112366538820359,ratio,endpoint-complete delivered orders,96470.0,order_purchase_timestamp,APPROVED,Actual delivery later than estimate.,PASS
MET-010,Average Order-Level Review Score,4.0867934152875325,score,all reviewed orders,98673.0,order_purchase_timestamp,APPROVED_WITH_LIMITATION,Order means; repeated-review semantics unavailable.,PASS
MET-011,Item Volume,112101.0,item lines,commercial item population,112101.0,order_purchase_timestamp,APPROVED,Item lines are source sequence records.,PASS
MET-012,Freight Value,2241126.29,BRL,commercial item population,112101.0,order_purchase_timestamp,APPROVED_WITH_LIMITATION,Recorded freight is not validated logistics cost.,PASS
MET-013,Freight Burden,0.14242460933957038,ratio,commercial item population,15735527.03,order_purchase_timestamp,APPROVED_WITH_LIMITATION,Weighted aggregate ratio.,PASS
MET-014,Recorded Payment Value,16008872.12,BRL,all payment rows/statuses,103886.0,order_purchase_timestamp,APPROVED_WITH_LIMITATION,"Not revenue, cash received, or net sales.",PASS
MET-015,On-time Delivery Rate,0.9188763346117964,ratio,same denominator as MET-009,96470.0,order_purchase_timestamp,APPROVED,Actual delivery on/before estimate.,PASS
