dax_id,metric_id,display_name,source_table,population_logic,date_logic,format,reconciliation_value,tolerance,execution_status,limitation,tooltip
DAX-001,MET-001,Total Orders,bi_orders,All statuses,Active purchase-date relationship,"#,##0",99441,0,PENDING_POWER_BI_EXECUTION,Includes canceled and unavailable orders,Distinct orders across all lifecycle statuses.
DAX-002,MET-002,Delivered Status Orders,bi_orders,Delivered status only,Active purchase-date relationship,"#,##0",96478,0,PENDING_POWER_BI_EXECUTION,Status does not certify delivery endpoints,Orders whose source status is delivered.
DAX-003,MET-003,Product GMV,bi_order_items,Commercial item rows,Purchase date through order relationship,"BRL #,##0.00",13494400.74,0.01,PENDING_POWER_BI_EXECUTION,Not revenue or profit,Sum of eligible item prices; freight and settlement are excluded.
DAX-004,MET-004,Gross Order Value,bi_order_items,Commercial item rows,Purchase date through order relationship,"BRL #,##0.00",15735527.03,0.01,PENDING_POWER_BI_EXECUTION,Not revenue or payment value,Eligible item prices plus recorded freight.
DAX-005,MET-005,Average Order Value (Product GMV),bi_orders,Commercial item-bearing orders,Active purchase-date relationship,"BRL #,##0.00",137.418922188617,0.01,PENDING_POWER_BI_EXECUTION,Freight excluded,Mean order-level Product GMV for eligible item-bearing orders.
DAX-006,MET-006,Observed Unique Customers,bi_orders,Commercial orders with stable identity,Active purchase-date relationship,"#,##0",94986,0,PENDING_POWER_BI_EXECUTION,Bounded observation window,Distinct stable customers observed in eligible orders.
DAX-007,MET-007,Observed Repeat Customer Rate,bi_orders,Commercial customers in selected window,Active purchase-date relationship,"0.00%",0.0303939527930432,0.000000001,PENDING_POWER_BI_EXECUTION,Not retention or lifetime behavior,Customers with at least two observed eligible orders divided by eligible customers.
DAX-008,MET-008,Average Delivery Lead Time,bi_orders,Endpoint-qualified delivered orders,Active purchase-date relationship,"0.00 days",12.558217098052,0.000000001,PENDING_POWER_BI_EXECUTION,Mean is tail-sensitive,Average purchase-to-customer-delivery time.
DAX-009,MET-009,Late Delivery Rate,bi_orders,Endpoint-qualified delivered orders,Active purchase-date relationship,"0.00%",0.0811236653882036,0.000000001,PENDING_POWER_BI_EXECUTION,Estimate adherence; not causal,Orders delivered after estimate over the shared eligible denominator.
DAX-010,MET-010,Average Order-Level Review Score,bi_order_reviews,Reviewed orders,Purchase filtering through order relationship,"0.00",4.08679341528753,0.000000001,PENDING_POWER_BI_EXECUTION,Canonical revision semantics unavailable,Average of governed order-level mean review scores.
DAX-011,MET-011,Item Volume,bi_order_items,Commercial item rows,Purchase date through order relationship,"#,##0",112101,0,PENDING_POWER_BI_EXECUTION,Item lines are not proven physical quantity,Count of eligible order-item lines.
DAX-012,MET-012,Freight Value,bi_order_items,Commercial item rows,Purchase date through order relationship,"BRL #,##0.00",2241126.29,0.01,PENDING_POWER_BI_EXECUTION,Not validated logistics cost,Sum of recorded eligible item freight.
DAX-013,MET-013,Freight Burden,bi_order_items,Commercial item rows,Purchase date through order relationship,"0.00%",0.14242460933957,0.000000001,PENDING_POWER_BI_EXECUTION,Weighted ratio; not average row ratio,Recorded freight divided by gross order value.
DAX-014,MET-014,Recorded Payment Value,bi_payments,All payment rows and statuses,Purchase date through order relationship,"BRL #,##0.00",16008872.12,0.01,PENDING_POWER_BI_EXECUTION,Not revenue cash received or net sales,Sum of independently recorded payment-sequence values.
DAX-015,MET-015,On-time Delivery Rate,bi_orders,Same denominator as MET-009,Active purchase-date relationship,"0.00%",0.918876334611796,0.000000001,PENDING_POWER_BI_EXECUTION,Complement only under shared population,Orders delivered on or before estimate over the MET-009 denominator.
