query_id,analysis_id,business_requirement_ids,metric_ids,model_ids,sql_file,business_question,calculation_grain,reporting_grain,population_rule,date_rule,validation_query,output_file,status,notes
SQL-001,AN-001;AN-003;AN-008;AN-009;AN-011,BR-001;BR-002;BR-005;BR-006;BR-015;BR-017;BR-018;BR-021;BR-022,MET-001–MET-015,MODEL-001;MODEL-002;MODEL-003;MODEL-005;MODEL-006;MODEL-010;MODEL-011;MODEL-012,sql/analysis/00_controls/core_metrics.sql,Calculate the approved core metric set,native metric grain,portfolio,metric-specific,order_purchase_timestamp,core_metric_reconciliation,core_metrics.csv,COMPLETE,Deterministic aggregated export
SQL-002,AN-001;AN-008;AN-009;AN-011,BR-001;BR-002;BR-015;BR-018;BR-021,MET-001–MET-015,MODEL-001–MODEL-012,sql/analysis/01_executive/executive_summary.sql,Provide an executive metric result table,portfolio,portfolio,metric-specific,order_purchase_timestamp,core_metric_reconciliation,executive_summary.csv,COMPLETE,Deterministic aggregated export
SQL-003,AN-001,BR-001;BR-002;BR-003,MET-001;MET-003;MET-005;MET-006;MET-009;MET-015,MODEL-001;MODEL-010;MODEL-012,sql/analysis/02_trends/monthly_trends.sql,How do comparable monthly metrics change?,order,month,metric-specific,purchase month,period_completeness,monthly_trends.csv,COMPLETE,Deterministic aggregated export
SQL-004,AN-003,BR-005;BR-006,MET-003;MET-005;MET-006;MET-007,MODEL-001;MODEL-006;MODEL-012,sql/analysis/03_customers/customer_frequency.sql,What observed purchase frequencies occur?,stable customer,frequency group,commercial,purchase window,customer_identity,customer_frequency.csv,COMPLETE,Deterministic aggregated export
SQL-005,AN-006,BR-009;BR-010;BR-011,MET-003;MET-005;MET-010;MET-011–MET-013,MODEL-001;MODEL-002;MODEL-005;MODEL-007,sql/analysis/04_categories/category_performance.sql,How do categories contribute and perform?,item/order-category,category,metric-specific,purchase timestamp,item_reconciliation,category_performance.csv,COMPLETE,Deterministic aggregated export
SQL-006,AN-007,BR-012;BR-013;BR-014,MET-003;MET-008–MET-011,MODEL-001;MODEL-002;MODEL-005;MODEL-008,sql/analysis/05_sellers/seller_performance.sql,How concentrated is seller activity?,item/order-seller,seller,commercial/single-seller outcomes,purchase timestamp,item_reconciliation,seller_performance.csv,COMPLETE,Deterministic aggregated export
SQL-007,AN-008,BR-015;BR-016;BR-017,MET-008;MET-009;MET-015,MODEL-001;MODEL-012,sql/analysis/06_delivery/delivery_performance.sql,What are endpoint-qualified delivery outcomes?,order,portfolio,delivery eligible,purchase cohort,delivery_denominator,delivery_performance.csv,COMPLETE,Deterministic aggregated export
SQL-008,AN-009;AN-010,BR-018;BR-019;BR-020,MET-009;MET-010;MET-015,MODEL-001;MODEL-005;MODEL-012,sql/analysis/07_customer_experience/review_delivery_comparison.sql,Are late deliveries associated with review scores?,order,delivery outcome,delivery eligible reviewed subset,purchase timestamp,review_policy,review_delivery_comparison.csv,COMPLETE,Deterministic aggregated export
SQL-009,AN-002;AN-008;AN-009,BR-004;BR-015;BR-016;BR-020,MET-001;MET-003;MET-005;MET-006;MET-008–MET-010,MODEL-001;MODEL-012,sql/analysis/08_geography/customer_state_performance.sql,How do customer-state demand and service vary?,order,Customer State,metric-specific,purchase timestamp,state_totals,customer_state_performance.csv,COMPLETE,Deterministic aggregated export
SQL-010,AN-011,BR-021;BR-022,MET-014,MODEL-003;MODEL-011,sql/analysis/09_payments/payment_summary.sql,What payment behavior is recorded?,payment sequence,payment type,payment bearing,purchase timestamp,payment_reconciliation,payment_summary.csv,COMPLETE,Deterministic aggregated export
SQL-011,AN-011,BR-010;BR-016;BR-021,MET-012;MET-013,MODEL-002,sql/analysis/09_payments/freight_summary.sql,What freight value and burden are recorded?,item,portfolio,commercial items,purchase timestamp,freight_reconciliation,freight_summary.csv,COMPLETE,Deterministic aggregated export
SQL-012,AN-006,BR-003;BR-009;BR-011,MET-003;MET-011,MODEL-002;MODEL-007,sql/analysis/04_categories/category_monthly_trends.sql,How do predetermined major categories vary monthly?,item,month/category,top-five full-window categories,purchase month,category_totals,category_monthly_trends.csv,COMPLETE,Deterministic aggregated export
SQL-013,AN-009,BR-018,MET-010,MODEL-004;MODEL-005,sql/analysis/07_customer_experience/review_score_distribution.sql,How are order-level mean review scores distributed?,reviewed order,score,all reviewed orders,purchase attribution/full window,review_policy,review_score_distribution.csv,COMPLETE,Deterministic aggregated export
