metric_id,metric_name,final_status,business_definition,grain,population_rule,date_rule,key_identifier,numerator_rule,denominator_rule,null_rule,zero_rule,DQ_dependencies,reconciliation_rule,limitations,rationale,unresolved_condition,future_model_requirement
MET-001,Total Orders,APPROVED,"Distinct source orders placed during the reporting period, regardless of lifecycle status.",order,All observed statuses; valid non-null order_id and purchase timestamp.,order_purchase_timestamp; no fallback,order_id,COUNT(DISTINCT order_id),Not applicable,Null order ID/date is ineligible and must fail DQ; none observed.,Not applicable,DQ-001; DQ-003; DQ-005; DQ-008; DQ-016,Distinct order_id from orders under identical date/status filter; exact equality.,A source order is counted even if later canceled/unavailable or lacks child records.,Preserves the literal meaning of Total Orders and separates delivered volume into MET-002.,NOT_APPLICABLE,MODEL-001; PENDING_PHASE_4 implementation
MET-002,Delivered Status Orders,APPROVED,Distinct orders whose source lifecycle status is delivered.,order,Include delivered only; do not require customer-delivery timestamp.,order_purchase_timestamp; no fallback,order_id,COUNT(DISTINCT order_id WHERE order_status='delivered'),Not applicable,Status/order/date required; actual-delivery timestamp is not required for this status metric.,Not applicable,DQ-003; DQ-008; DQ-009,Distinct delivered order_id in orders; exact equality.,"Measures source status, not timestamp-complete deliveries; eight delivered-status orders lack actual-delivery timestamps.",Keeps status semantics distinct from MET-008/009 endpoint-complete populations.,NOT_APPLICABLE,MODEL-001
MET-003,Product GMV,APPROVED_WITH_LIMITATION,Sum of item selling prices for lifecycle-active commercial orders; freight excluded.,order item,"Include approved, invoiced, processing, shipped, delivered orders with item rows; exclude created, canceled, unavailable.",parent order_purchase_timestamp; no fallback,order_id + order_item_id,SUM(order_items.price),Not applicable,Price/key/purchase date required; no imputation.,Zero price would be included and warned; none observed.,DQ-007; DQ-008; DQ-012; DQ-015; DQ-016,Eligible source item price sum at validated item key; exact equality within 0.01 currency-unit tolerance.,"Not revenue, recognized revenue, net sales, cash received, or profit; refunds/returns/costs are unavailable.",Uses the contractually intended price-only measure and prevents payment/freight substitution.,Refund/return semantics unavailable,MODEL-002; independent item fact
MET-004,Gross Order Value,APPROVED_WITH_LIMITATION,Sum of item selling price plus item freight value for lifecycle-active commercial orders.,order item,Same as MET-003.,parent order_purchase_timestamp; no fallback,order_id + order_item_id,SUM(price + freight_value),Not applicable,Both components and keys required; no imputation.,Zero freight is valid and included; zero price would be included and warned.,DQ-007; DQ-008; DQ-015; DQ-016,Independent eligible item-grain sum; exact equality within 0.01.,"Not payment value, revenue, net sales, or profit.",Separates freight-inclusive value from Product GMV.,Refund/return semantics unavailable,MODEL-002
MET-005,Average Order Value (Product GMV),APPROVED_WITH_LIMITATION,Average order-level Product GMV among lifecycle-active commercial orders represented by at least one eligible item.,"items pre-aggregated to order, then reporting group",Same statuses as MET-003; denominator includes only eligible orders with at least one eligible item.,order_purchase_timestamp; no fallback,order_id,SUM(order-level Product GMV),COUNT(DISTINCT eligible order_id with >=1 eligible item),Orders without items excluded from this metric only and coverage disclosed.,Zero order Product GMV would be included if source-valid.,DQ-007; DQ-008; DQ-015; DQ-016,Numerator reconciles to MET-003 source control; denominator to distinct eligible item-bearing orders; tolerance 0.01.,Freight excluded; not average payment or revenue per order.,Avoids denominator bias from itemless orders and fanout.,Refund/return semantics unavailable,MODEL-001 + MODEL-002 with item-to-order pre-aggregation
MET-006,Observed Unique Customers,APPROVED_WITH_LIMITATION,Distinct stable customers associated with at least one lifecycle-active commercial order in the reporting period.,stable customer,"Approved, invoiced, processing, shipped, delivered orders; valid customer mapping.",order_purchase_timestamp; no fallback,customer_unique_id,COUNT(DISTINCT customer_unique_id),Not applicable,Stable ID/order/date required; no imputation.,Not applicable,DQ-005; DQ-008; DQ-011; DQ-016; DQ-018,Independent distinct customer_unique_id after eligible order-to-customer join; exact equality.,"Observed dataset customers, not all historical/lifetime customers; period/window censoring applies.",Uses validated stable identity rather than order-associated customer_id.,Observation boundaries may be incomplete,MODEL-001 + MODEL-005
MET-007,Observed Repeat Customer Rate,APPROVED_WITH_LIMITATION,Share of stable customers with at least two eligible orders within the same declared observation window among customers with at least one eligible order.,stable customer over fixed window,"Approved, invoiced, processing, shipped, delivered orders within one explicitly declared window.",order_purchase_timestamp; no fallback,customer_unique_id + distinct order_id,COUNT(DISTINCT customer_unique_id HAVING COUNT(DISTINCT eligible order_id)>=2),COUNT(DISTINCT customer_unique_id HAVING COUNT(DISTINCT eligible order_id)>=1),Stable ID/order/date required; no imputation.,Return null/NA rather than divide by zero if denominator is zero.,DQ-008; DQ-011; DQ-016; DQ-018,Rebuild customer-level eligible distinct-order counts from source; numerator <= denominator; exact counts.,Not retention or lifetime behavior; customers have unequal exposure near window boundaries.,A defensible observed repeat measure is calculable if censoring is explicit.,No supported exposure adjustment; interpret descriptively,MODEL-001 + MODEL-005; window parameter
MET-008,Average Delivery Lead Time,APPROVED,Mean elapsed days from purchase timestamp to actual customer delivery for endpoint-complete delivered orders.,order,Status delivered; purchase and customer-delivery timestamps non-null; delivery >= purchase.,purchase-cohort attribution using order_purchase_timestamp; no fallback,order_id,SUM(delivered_customer_timestamp - purchase_timestamp in fractional days),COUNT(eligible delivered orders),Missing endpoints excluded from this metric only; count disclosed; no imputation.,Zero-day duration is valid; negative duration is ineligible and warned.,DQ-005; DQ-006; DQ-008; DQ-009; DQ-016,Eligible order count and total duration independently recomputed from orders; exact count and numeric tolerance 1e-9 days before display rounding.,Mean is sensitive to distribution tails; median may be shown only as diagnostic. Timezone-naive timestamps.,Uses semantically direct customer delivery endpoints; approval/carrier reversals do not affect formula.,None for current endpoints,MODEL-001 with endpoint eligibility flag
MET-009,Late Delivery Rate,APPROVED,Share of endpoint-complete delivered orders whose actual customer-delivery timestamp is later than the estimated-delivery timestamp.,order,"Status delivered; valid purchase, actual-delivery, and estimated-delivery timestamps; actual >= purchase.",purchase-cohort attribution using order_purchase_timestamp; no fallback,order_id,COUNT(eligible order_id WHERE actual_delivery > estimated_delivery),COUNT(eligible delivered order_id with both endpoints),Missing actual/estimate excluded from this metric only and disclosed.,Zero numerator displays 0%; zero denominator returns null/NA.,DQ-005; DQ-006; DQ-008; DQ-009; DQ-016,Numerator/denominator independently counted from eligible orders; 0 <= numerator <= denominator; exact equality.,"Equality is on-time; measures source estimate adherence, not causality or service quality in isolation.","Late delivery is a business outcome, not a DQ defect; eight missing actual timestamps are excluded.",NOT_APPLICABLE,MODEL-001 with shared MET-009/015 eligibility flag
MET-010,Average Order-Level Review Score,APPROVED_WITH_LIMITATION,"Unweighted mean of order-level mean review scores, giving each reviewed order equal portfolio weight.","review events aggregated to order, then reporting group",All order statuses with >=1 matched review row and valid score 1–5.,parent order_purchase_timestamp; no fallback; review-date view is secondary only,order_id; preserve all source review rows within order,SUM(order-level mean(review_score)),COUNT(DISTINCT reviewed order_id),Invalid/null scores excluded and disclosed; none observed. Orders without reviews excluded and coverage disclosed.,Not applicable; valid domain 1–5.,DQ-002; DQ-008; DQ-010; DQ-016,"Recompute per-order means from all source rows, then verify one aggregate row per order and exact reviewed-order denominator.",Order-level mean is an analytical construction; repeated relationship semantics/revision history are unavailable.,Equal order weighting avoids overweighting orders with multiple review rows without unsupported single-record selection.,No authoritative canonical source review exists,MODEL-004 order-review aggregate preserving event counts
